排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1230641,8467,23,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
2,全能Ai 仙侠副本02,只只说动漫,335890,1080,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
3,AI修仙｜“天上白玉京”,纠结的柠檬君,247253,7506,240,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
4,【绯红回响】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,235832,15159,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
5,全能Ai 仙侠副本20,只只说动漫,201963,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
6,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,190761,5856,191,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
7,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103517,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
8,外国版凡人修仙传！黄枫谷！,姚瑶白白,100869,1728,205,https://www.bilibili.com/video/BV1yMYyzhEpe,AI动画 仙侠
9,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,86815,8273,38,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
10,神坛之下05｜万法有价，生死无门.,阿墩的AI小剧场,74885,2290,136,https://www.bilibili.com/video/BV1fFTq6pEoh,AI动画 仙侠
11,《我是修仙世界里的NPC》楔子5,饺子先生NPC,71863,3518,32,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
12,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,67720,4328,603,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
13,外国版凡人修仙！玄骨上人！,姚瑶白白,66660,694,112,https://www.bilibili.com/video/BV1ptYXzDEwt,AI动画 仙侠
14,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,66627,2801,148,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
15,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,66017,696,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
