排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3638762,167263,1715,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1838319,9755,22,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1601253,8175,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1452806,6229,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
5,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1428533,9120,7,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
6,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421735,8429,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
7,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1380200,9615,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
8,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1249164,32574,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
9,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,997064,7979,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
10,《阿东修仙传》第一集,Ai-阿东同学,973345,3796,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
