排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3621203,166830,1708,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1767198,9538,16,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1427783,5916,4,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
4,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421634,8430,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
5,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1415292,9034,3,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
6,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1404634,7121,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
7,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1330184,9474,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
8,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1177297,32279,1099,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
9,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954290,5731,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
10,《贪吃姐弟》擂台大比！,爱神漫剧馆,925914,1532,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
11,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,847050,6978,0,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
12,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,832979,3434,1582,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
13,《阿东修仙传》第一集,Ai-阿东同学,818615,3377,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
14,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,712390,9175,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
15,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,590550,44754,445,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
16,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,566555,3845,175,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
17,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,566555,3845,175,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
18,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,566530,2865,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
19,《一剑护苍生》第三集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,548202,4102,6,https://www.bilibili.com/video/BV1T2V36mEGW,AI漫剧 修仙
20,《一剑护苍生》大结局|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,537686,4192,9,https://www.bilibili.com/video/BV1T2V36mEAY,AI漫剧 修仙
21,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516336,1165,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
22,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,386952,1738,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
23,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,384697,23042,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
24,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,335366,20408,722,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
25,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277182,7569,120,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
26,“我希望能创造出一片万族共存的天地” 玄幻世界,御赐AI画师,211640,9116,293,https://www.bilibili.com/video/BV15sJNzgERE,AI动画 玄幻
27,修仙者VS大巫师,仙尊本尊AI,199701,8022,340,https://www.bilibili.com/video/BV1bT6aBuEXg,AI动画 玄幻
28,暂停挑战！韩立与谁双修成功？与王婵一次成功，祝你修仙路上一路长虹  #创作灵感 #凡人修仙传 #暂停挑战 本视频部分内容由AI工作辅助制作,说书人阿阵,196770,26953,767,https://www.bilibili.com/video/BV1AsAdzsEy1,AI动画 玄幻
29,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,184412,5783,184,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 玄幻
30,天上白玉京,青椒roll思,175681,3930,120,https://www.bilibili.com/video/BV1FQmcBWEMw,AI动画 玄幻
