排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1265340,32636,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
2,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,漫界逆行者,1134170,7977,3,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
3,《贪吃姐弟》擂台大比！,爱神漫剧馆,930737,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
4,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,888071,3701,1676,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
5,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,591961,44769,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
6,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,570753,3888,182,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
7,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516975,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
8,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,390146,1752,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
9,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,386223,23060,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
10,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,354336,21206,763,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
11,全能Ai 仙侠副本02,只只说动漫,335889,1081,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
12,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277342,7572,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
13,AI修仙｜“天上白玉京”,纠结的柠檬君,241845,7437,235,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
14,AI漫剧被上传到海外，搞得洋冬瓜疯狂上头走不动道! #国漫 #凡人修仙传 #一斩苍穹定档0728 #万妖图录传 #AI漫剧,啊哦呃西,225128,3961,51,https://www.bilibili.com/video/BV18DNX62EBg,AI动画 玄幻
15,请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,218909,15367,410,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
16,“我希望能创造出一片万族共存的天地” 玄幻世界,御赐AI画师,213824,9161,293,https://www.bilibili.com/video/BV15sJNzgERE,AI动画 玄幻
17,全能Ai 仙侠副本20,只只说动漫,201962,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
18,修仙者VS大巫师,仙尊本尊AI,200793,8031,340,https://www.bilibili.com/video/BV1bT6aBuEXg,AI动画 玄幻
19,暂停挑战！韩立与谁双修成功？与王婵一次成功，祝你修仙路上一路长虹  #创作灵感 #凡人修仙传 #暂停挑战 本视频部分内容由AI工作辅助制作,说书人阿阵,196819,26955,767,https://www.bilibili.com/video/BV1AsAdzsEy1,AI动画 玄幻
20,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,187753,5814,186,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
21,谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,179386,14338,367,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
22,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103516,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
23,外国版凡人修仙传！黄枫谷！,姚瑶白白,100272,1722,205,https://www.bilibili.com/video/BV1yMYyzhEpe,AI动画 仙侠
24,《我是修仙世界里的NPC》楔子5,饺子先生NPC,71521,3512,31,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
25,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,70305,7065,32,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
26,外国版凡人修仙！玄骨上人！,姚瑶白白,66465,691,113,https://www.bilibili.com/video/BV1ptYXzDEwt,AI动画 仙侠
27,这家伙 究竟何方神圣,夏雪为萤,64504,2127,192,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
28,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,64489,688,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
29,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,62834,4009,566,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
30,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,62435,2729,145,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
