排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3644993,167471,1720,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1989131,9928,25,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1749975,8805,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1480798,6275,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
5,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1438727,9179,11,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
6,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1438078,9666,14,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
7,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421800,8427,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
8,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1223392,8454,22,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
9,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1142022,8847,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
10,《阿东修仙传》第一集,Ai-阿东同学,1000964,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
11,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954611,5732,106,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
12,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,873700,10468,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
13,全宗门都在偷听我这个杂役的心声,黔佳漫剧,733856,2634,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
14,《修仙之从零开始》,史太郎呼呼,592512,3593,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
15,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,573536,2902,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
16,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,571713,3897,184,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
17,全能Ai 仙侠副本02,只只说动漫,335889,1080,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
18,AI修仙｜“天上白玉京”,纠结的柠檬君,245575,7485,238,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
19,谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,225501,15023,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
20,全能Ai 仙侠副本20,只只说动漫,201962,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
21,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,188774,5830,189,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
22,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103516,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
23,外国版凡人修仙传！黄枫谷！,姚瑶白白,100543,1725,205,https://www.bilibili.com/video/BV1yMYyzhEpe,AI动画 仙侠
24,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,79869,7761,37,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
25,《我是修仙世界里的NPC》楔子5,饺子先生NPC,71669,3516,32,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
26,外国版凡人修仙！玄骨上人！,姚瑶白白,66563,693,112,https://www.bilibili.com/video/BV1ptYXzDEwt,AI动画 仙侠
27,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,65385,694,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
28,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,65269,4179,584,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
29,这家伙 究竟何方神圣,夏雪为萤,64515,2127,191,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
30,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,63622,2756,145,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
