排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,漫界逆行者,1149926,8052,13,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
2,全能Ai 仙侠副本02,只只说动漫,335889,1081,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
3,AI修仙｜“天上白玉京”,纠结的柠檬君,243132,7449,235,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
4,全能Ai 仙侠副本20,只只说动漫,201962,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
5,谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,197759,14594,369,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
6,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,188004,5818,186,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
7,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103516,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
8,外国版凡人修仙传！黄枫谷！,姚瑶白白,100333,1723,205,https://www.bilibili.com/video/BV1yMYyzhEpe,AI动画 仙侠
9,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,73060,7325,33,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
10,《我是修仙世界里的NPC》楔子5,饺子先生NPC,71539,3512,31,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
11,外国版凡人修仙！玄骨上人！,姚瑶白白,66481,691,113,https://www.bilibili.com/video/BV1ptYXzDEwt,AI动画 仙侠
12,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,64677,689,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
13,这家伙 究竟何方神圣,夏雪为萤,64508,2127,192,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
14,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,63713,4067,573,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
15,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,62510,2731,145,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
