排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3647530,167536,1720,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,2206827,10114,26,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1863759,9228,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,【绯红回响】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1826206,62226,1941,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
5,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1498880,6304,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
6,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1475290,9701,14,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
7,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1449795,9234,13,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
8,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421853,8427,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
9,胆小的千万别点进来，否则……,赤鸢与白狐,1289567,32751,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
10,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1218402,9228,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
11,《阿东修仙传》第一集,Ai-阿东同学,1001321,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
12,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954689,5732,106,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
13,《贪吃姐弟》擂台大比！,爱神漫剧馆,930812,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
14,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,926804,3883,1733,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
15,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,874223,10465,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
16,全宗门都在偷听我这个杂役的心声,黔佳漫剧,778854,2804,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
17,《修仙之从零开始》,史太郎呼呼,618049,3686,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
